Talker,Age,Gender,category,Word,Token,Trial,Location,Duration,SR,F0,F1,F2,F3,Quantity
ref_yw_1,35,female,[œː],dör,2,29,80,0.425393923721906,180.453128894151,194.770084343498,563,1226.87107081383,2698,long
ref_yw_1,35,female,[œː],dör,3,30,20,0.394664513092451,180.453128894151,190.010551039917,601.169617361489,1314.71192863881,2895.35664513597,long
ref_yw_1,35,female,[œː],dör,3,30,35,0.394664513092451,180.453128894151,190.010551039917,603.576881167569,1245.67590672249,2872.17087321766,long
ref_yw_1,35,female,[œː],dör,3,30,50,0.394664513092451,180.453128894151,190.010551039917,575.849508550185,1241.75653397561,2865.24092438183,long
ref_yw_1,35,female,[œː],dör,3,30,65,0.394664513092451,180.453128894151,190.010551039917,571.8068835633,1221.47535312804,2841.30176576241,long
ref_yw_1,35,female,[œː],dör,3,30,80,0.394664513092451,180.453128894151,190.010551039917,575.972384316835,1686,2847.52601936992,long
ref_yw_1,35,female,[iː],dis,1,31,20,0.378741945514591,180.453128894151,214.273459683726,423.38018930972,2205.51142465489,2327.46115791454,long
ref_yw_1,35,female,[iː],dis,1,31,35,0.378741945514591,180.453128894151,214.273459683726,419.179271913044,2277.51623948172,3328.68692052034,long
ref_yw_1,35,female,[iː],dis,1,31,50,0.378741945514591,180.453128894151,214.273459683726,416.197700081157,2236.0227031051,3020.00293639819,long
ref_yw_1,35,female,[iː],dis,1,31,65,0.378741945514591,180.453128894151,214.273459683726,394.27545756609,2272,2272.73766093149,long
ref_yw_1,35,female,[iː],dis,1,31,80,0.378741945514591,180.453128894151,214.273459683726,397.216479165306,2270.83727874044,3285.81179318455,long
ref_yw_1,35,female,[iː],dis,2,32,20,0.372990469380412,180.453128894151,195.565789436654,406.60632006566,2159.89049301631,2453.18425997542,long
ref_yw_1,35,female,[iː],dis,2,32,35,0.372990469380412,180.453128894151,195.565789436654,402.166128798981,2176,2221.50868980327,long
ref_yw_1,35,female,[iː],dis,2,32,50,0.372990469380412,180.453128894151,195.565789436654,392.53422777247,2146,2160.06163305289,long
ref_yw_1,35,female,[iː],dis,2,32,65,0.372990469380412,180.453128894151,195.565789436654,390.548764341319,2214.19177324576,3267.4868558179,long
ref_yw_1,35,female,[iː],dis,2,32,80,0.372990469380412,180.453128894151,195.565789436654,312,2162.77212319952,3269.22940961988,long
ref_yw_1,35,female,[iː],dis,3,33,20,0.339138555021364,180.453128894151,204.576591922067,430.89963302649,2193.81182408632,3248.62699352638,long
ref_yw_1,35,female,[iː],dis,3,33,35,0.339138555021364,180.453128894151,204.576591922067,396.170064985756,2223.81947776414,3305.21639583272,long
ref_yw_1,35,female,[iː],dis,3,33,50,0.339138555021364,180.453128894151,204.576591922067,383.261204783428,2224.89672463146,3243.83938124515,long
ref_yw_1,35,female,[iː],dis,3,33,65,0.339138555021364,180.453128894151,204.576591922067,360.826832948187,2197.62911515769,3273.70481885345,long
ref_yw_1,35,female,[iː],dis,3,33,80,0.339138555021364,180.453128894151,204.576591922067,282,2157.89562507309,3288.78461870682,long
ref_yw_1,35,female,[øː],lös,7,34,20,0.415138521259479,180.453128894151,203.486580494634,564.637503081893,1931.77068592055,2709.78414265388,long
ref_yw_1,35,female,[øː],lös,7,34,35,0.415138521259479,180.453128894151,203.486580494634,590.269834627503,1982,2724.73206792758,long
ref_yw_1,35,female,[øː],lös,7,34,50,0.415138521259479,180.453128894151,203.486580494634,601.7672867423,1930.11493893525,2742.54822338185,long
ref_yw_1,35,female,[øː],lös,7,34,65,0.415138521259479,180.453128894151,203.486580494634,595.334722206764,1890.50681749972,2711.61558007538,long
ref_yw_1,35,female,[øː],lös,7,34,80,0.415138521259479,180.453128894151,203.486580494634,630.20348195532,1778.05204208275,2603.10602726211,long
ref_yw_1,35,female,[øː],lös,8,35,20,0.331408582089566,180.453128894151,197.161129447888,592.475218169571,1829.58713440586,2752.17507486531,long
ref_yw_1,35,female,[øː],lös,8,35,35,0.331408582089566,180.453128894151,197.161129447888,603.31294283459,1833.45311081853,2790.32673538341,long
ref_yw_1,35,female,[øː],lös,8,35,50,0.331408582089566,180.453128894151,197.161129447888,589.626167099668,1801.21400723867,2763.44753338183,long
ref_yw_1,35,female,[øː],lös,8,35,65,0.331408582089566,180.453128894151,197.161129447888,571.838500080914,1801.67889553995,2741.96630777898,long
ref_yw_1,35,female,[øː],lös,8,35,80,0.331408582089566,180.453128894151,197.161129447888,599.000700523814,1741,2729.6533756419,long
ref_yw_1,35,female,[øː],lös,9,36,20,0.22426718891461,180.453128894151,200.863865867949,610.211291414745,1854.0875922114,2732.75619606877,long
ref_yw_1,35,female,[øː],lös,9,36,35,0.22426718891461,180.453128894151,200.863865867949,615.628552992158,1864.31143500388,2720.30284254729,long
ref_yw_1,35,female,[øː],lös,9,36,50,0.22426718891461,180.453128894151,200.863865867949,607.756684987048,1834.12053796728,2706.06106183835,long
ref_yw_1,35,female,[øː],lös,9,36,65,0.22426718891461,180.453128894151,200.863865867949,592.901810011766,1796.91135082737,2668.95250466629,long
ref_yw_1,35,female,[øː],lös,9,36,80,0.22426718891461,180.453128894151,200.863865867949,609.357429512442,1815.22131418816,2674.9860108795,long
ref_yw_1,35,female,[ɑː],lat,1,37,20,0.328274035740009,180.453128894151,205.385829719716,826.185061957885,1465,2717.84616934756,long
ref_yw_1,35,female,[ɑː],lat,1,37,35,0.328274035740009,180.453128894151,205.385829719716,827.965415012054,1244.39957681535,2658.39773220115,long
ref_yw_1,35,female,[ɑː],lat,1,37,50,0.328274035740009,180.453128894151,205.385829719716,805.34113911516,1235.72274677862,2640.95422445514,long
ref_yw_1,35,female,[ɑː],lat,1,37,65,0.328274035740009,180.453128894151,205.385829719716,769.32922462895,1154.08705712535,2588.00539654543,long
ref_yw_1,35,female,[ɑː],lat,1,37,80,0.328274035740009,180.453128894151,205.385829719716,701.89117905743,929.169956740437,2404,long
ref_yw_1,35,female,[ɑː],lat,2,38,20,0.307164124543291,180.453128894151,213.465599815627,804.945976557907,1154.8065007788,2685.30135132278,long
ref_yw_1,35,female,[ɑː],lat,2,38,35,0.307164124543291,180.453128894151,213.465599815627,724.74223427129,954.516981905123,2635.36603430391,long
ref_yw_1,35,female,[ɑː],lat,2,38,50,0.307164124543291,180.453128894151,213.465599815627,770.854951600677,940.572383133952,2615,long
ref_yw_1,35,female,[ɑː],lat,2,38,65,0.307164124543291,180.453128894151,213.465599815627,723.406886643461,1115.96917637289,2531.12017984489,long
ref_yw_1,35,female,[ɑː],lat,2,38,80,0.307164124543291,180.453128894151,213.465599815627,687.422193498582,1092.54564037458,2467.80940770596,long
ref_yw_1,35,female,[ɑː],lat,3,39,20,0.252013665666098,180.453128894151,221.19072997218,710.890425963982,1253.32663151861,2763.83247679287,long
